match	kingdom	phylum	class	order	family	genus	species	new_species	new_fam	new_genus									
Viruses;;;Herpesvirales;Alloherpesviridae;Cyprinivirus;Anguillid_herpesvirus_1	Viruses			Herpesvirales	Alloherpesviridae	Cyprinivirus	Anguillid_herpesvirus	Viruses;;;Herpesvirales;Alloherpesviridae;Cyprinivirus;Anguillid_herpesvirus	Viruses;;;Herpesvirales;Alloherpesviridae	Viruses;;;Herpesvirales;Alloherpesviridae;Cyprinivirus									
Viruses;;;Caudovirales;Siphoviridae;Lambdalikevirus;Escherichia_phage_HK639	Viruses			Caudovirales	Siphoviridae	Lambdalikevirus	Escherichia_phage	Viruses;;;Caudovirales;Siphoviridae;Lambdalikevirus;Escherichia_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;Lambdalikevirus									
Viruses;;;Caudovirales;Siphoviridae;Lambdalikevirus;Enterobacteria_phage_HK022	Viruses			Caudovirales	Siphoviridae	Lambdalikevirus	Enterobacteria_phage	Viruses;;;Caudovirales;Siphoviridae;Lambdalikevirus;Enterobacteria_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;Lambdalikevirus									
Viruses;;;Caudovirales;Siphoviridae;L5likevirus;Mycobacterium_phage_D29	Viruses			Caudovirales	Siphoviridae	L5likevirus	Mycobacterium_phage	Viruses;;;Caudovirales;Siphoviridae;L5likevirus;Mycobacterium_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;L5likevirus									
Viruses;;;Caudovirales;Siphoviridae;;Tsukamurella_phage_TPA2	Viruses			Caudovirales	Siphoviridae		Tsukamurella_phage	Viruses;;;Caudovirales;Siphoviridae;;Tsukamurella_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage_Zemlya	Viruses			Caudovirales	Siphoviridae		Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage_SV1	Viruses			Caudovirales	Siphoviridae		Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage_phiHau3	Viruses			Caudovirales	Siphoviridae		Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage_Lika	Viruses			Caudovirales	Siphoviridae		Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptomyces_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_YMC-2011	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_SM1	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_PH15	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_PH10	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_MM1	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_DT1	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage_5093	Viruses			Caudovirales	Siphoviridae		Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Streptococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
